ISO2,ISO3,Issuer Country,Primary_Sector,Bond_Count,Total_USD_B
CL,CHL,Chile,Transport,1,0
CN,CHN,China,Low Carbon Transport,11,18.1624474
CN,CHN,China,Low Carbon Transportmarine Renewable Energysolarwind,2,4.81022
CN,CHN,China,Low Carbon Transportsolarwind,3,2.826276
CN,CHN,China,Solarwindlow Carbon Transport,1,2.14
CN,CHN,China,Wind,4,1.572976689
CN,CHN,China,Solar Wind,6,1.2094487999999999
CN,CHN,China,Low Carbon Transportmarine Renewable Energywater Infrastructurewind,1,1
CN,CHN,China,Low Carbon Transportwindsolar,1,1
CN,CHN,China,Low Carbon Transport Marine Renewable Energywater Infrastructure Wind,1,0.589
CN,CHN,China,Low Carbon Transportwater Infrastructure,1,0.379
CN,CHN,China,Low Carbon Transportlow Carbon Buildings,1,0.3
CN,CHN,China,Solar,1,0.149
CN,CHN,China,Water Infrastructure,1,0.0728
CN,CHN,China,Solarwater Infrastructure,1,0.057
CI,CIV,Cote d'Ivoire,Low Carbon Buildings,1,0.0178775
CO,COL,Colombia,Solar,1,0.0243
CO,COL,Colombia,Low Carbon Transport,1,0
CR,CRI,Costa Rica,Hydropower,1,0.15
CY,CYP,Cyprus,Solar,1,0.00561432
DE,DEU,Germany,Low Carbon Transport,3,4.3416
DE,DEU,Germany,Low Carbon Buildings,5,2.368
DE,DEU,Germany,Marine Renewable Energy,2,1.356
DE,DEU,Germany,Marine Renewable Energysolarwind,1,1.12
DE,DEU,Germany,Low Carbon Transportmarine Renewable Energysolarwind,2,1.003851
DE,DEU,Germany,Wind,3,0.9819
DE,DEU,Germany,Low,1,0.93
DE,DEU,Germany,Solar Transport Wind,1,0.71
DE,DEU,Germany,Low Carbon Transportmarine Rewable Energysolarwind,1,0.590703
DE,DEU,Germany,Windsolar,1,0.56975
DE,DEU,Germany,Solar Wind,1,0.568
DE,DEU,Germany,Electrical Grids And Storage,1,0.433851
DE,DEU,Germany,Solar,2,0.0897
DO,DOM,Dominican Republic,Solarwind,1,0.1
DO,DOM,Dominican Republic,Solar Wind,1,0.00503364
EG,EGY,Egypt,Solar,1,0.3345
ES,ESP,Spain,Solar,1,0.075
FR,FRA,France,Low Carbon Transport,65,48.200167766
FR,FRA,France,Low Carbon Buildings,2,1.6780000000000002
FR,FRA,France,Low Carbon Transportwind,1,1.45
FR,FRA,France,Solarwind,1,0.051
FR,FRA,France,Solar,1,0
GB,GBR,United Kingdom,Low Carbon Buildings,6,1.20188393
GB,GBR,United Kingdom,Solarwindlow Carbon Transport,1,0.533
GB,GBR,United Kingdom,Marine Renewable Energy,1,0.481
GB,GBR,United Kingdom,Windsolarmarine Renewables,5,0.18929778800000002
GB,GBR,United Kingdom,Marine Renewable Energysolarwind,5,0.106697571
GB,GBR,United Kingdom,Low Carbon Transport,2,0.0638
GB,GBR,United Kingdom,Low Carbon Transportlow Carbon Buildingsmarinesolar,1,0.0302
GB,GBR,United Kingdom,Solar,6,0.0239
GB,GBR,United Kingdom,Low Carbon Transportlow Carbon Buildingsmarine Renewableswind,1,0.02022643
GB,GBR,United Kingdom,Energy,1,0
GR,GRC,Greece,Solarwind,1,0.677
GR,GRC,Greece,Wind,1,0.167
HK,HKG,Hong Kong,Low Carbon Transportwindwater Infrastructure,1,1.62
HK,HKG,Hong Kong,Wind,2,1.5
HU,HUN,Hungary,Low Carbon Buildings,1,0.0320148
IN,IND,India,Solarwind,16,4.0788
IN,IND,India,Low Carbon Transport,6,3.765933858
IN,IND,India,Solar,19,1.5067656950000001
IN,IND,India,Solar Wind,4,1.045
IN,IND,India,Low Carbon Buildings,2,0.5481216
IN,IND,India,Wind,17,0.19284
IN,IND,India,Transport Solar Water Waste Wind,1,0.0225478
IN,IND,India,Water Infrastructure,1,0.0120612
IN,IND,India,Solar Wind Low Carbon Transport Waste,1,0
IN,IND,India,Windsolar,2,0
IT,ITA,Italy,Low Carbon Transport,3,2.356531
JP,JPN,Japan,Transport Buildings Grids R,2,10.627085525999998
JP,JPN,Japan,Low Carbon Transport,35,3.3912
JP,JPN,Japan,Resilience Water Grids,1,0.350619
JP,JPN,Japan,Windmarine Renewable Energygeothermal,2,0.29542999999999997
JP,JPN,Japan,Wind,2,0.193
JP,JPN,Japan,Solar,1,0.0962
JP,JPN,Japan,Marine Renewable Energy,1,0.095
JP,JPN,Japan,Windmarine Renewable Energygeothermalsolar,1,0.095
JP,JPN,Japan,Marine Renewable Energygeothermalwind,1,0.0880665
JP,JPN,Japan,Low Carbon Transportsolar,1,0.0555
JP,JPN,Japan,Waste Management,1,0.017
JP,JPN,Japan,Geothermal,1,0
JP,JPN,Japan,Windsolar,1,0
KZ,KAZ,Kazakhstan,Solarwind,1,0.015
KE,KEN,Kenya,Low Carbon Buildings,2,0.095490665
KR,KOR,"Korea, Republic of",Low Carbon Transport,1,0.5
LU,LUX,Luxembourg,Low Carbon Transport,3,0.6738000000000001
LU,LUX,Luxembourg,Solar,1,0.55
MA,MAR,Morocco,Low Carbon Transport,2,0.29546700000000004
MA,MAR,Morocco,Solar,1,0.115
MX,MEX,Mexico,Wind,2,0.5
MX,MEX,Mexico,Protected Agriculture,1,0.13
MX,MEX,Mexico,Protected Agriculturewater Infrastructuresolarforestry,1,0.129
MX,MEX,Mexico,Low Carbon Buildings,3,0.072127514
MU,MUS,Mauritius,Solarwind,4,1.6179999999999999
