ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Unit,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024
56,Chile,CL,CHL,Sovereign Green Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,4.362557541,2.827132115,,,,
57,Chile,CL,CHL,Sovereign Social Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,1.697991063,14.358005429,,5.462416029,7.327241129
58,Chile,CL,CHL,Sovereign Sustainability Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,5.092373592,5.061244415,,
59,Chile,CL,CHL,Sovereign Sustainability Linked Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,2,8.84273558,
60,Chile,CL,CHL,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.061296,2.04105224,,6.942373592,5.061244415,0.531372946,
61,Chile,CL,CHL,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1,2,8.921128524,
62,"China, P.R.: Hong Kong",HK,HKG,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,0.3,,0.3,,0.953222832,3.11220213,7.765886715,4.540633058,17.126108503,11.436951508,25.702650216,11.767221961
63,"China, P.R.: Hong Kong",HK,HKG,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.385847127,,0.385514919,,1.440929629,2.562375565,3.556484429
64,"China, P.R.: Hong Kong",HK,HKG,Sovereign Green Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,2,,8.519530934,2.574168221,19.503851476,4.911612004
65,"China, P.R.: Hong Kong",HK,HKG,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,1.1,,,0.74,0.451029916,0.257929132,0.988751962
